jammerlich-adj; adv	pathetic; miserably
Hoden-M	testicle
Insekt-N	insect
hoffnungslos-adj;	hopeless; hopelessly
inspirieren-vb	inspire
hold-adj	lovely, fair (fml)
installieren-vb	install
höllisch-adj; adv	hellish; horribly
Institution-F	institution
Instrument-N	instrument
Horizont-M	horizon
Hort-M	haven (fml)
Hospital-N	hospital
international-adj;	international;
Hotelzimmer-N	hotel room
investieren-vb	invest
Hülle-F	case
hüllen-vb	wrap
inwiefern-adv	how
Hummer-M	lobster
Irak-M	Iraq
hupen-vb	honk
hüpfen-vb	hop
Ironie-F	irony
Hüter-M	guardian
ironisch-adj; adv	ironic; ironically
Hypnose-F	hypnosis
Hypothek-F	mortgage
hysterisch-adj;	hysterical; hysterically
Jackett-N	jacket
kehren-vb	sweep, turn
Jahrestag-M	anniversary
Jahreszeit-F	season
Jahrgang-M	year, vintage
Kern-M	core
jährlich-adj; adv	annual; annually
jämmerlich-adj;	pathetic; miserably
Kessel-M	kettle
Ketchup-M/N	ketchup
jammern-vb	complain
Kick-M	kick
Jazz-M	jazz
Jeep-M	jeep
kippen-vb	tilt
kitzeln-vb	tickle
Jet-M	jet
Klan-M	clan
jetzig-adj	present
klappern-vb; N	rattle; rattling
Joint-M	joint
klarkommen-vb	get along (coll)
jucken-vb	itch
klarmachen-vb	make clear
klarstellen-vb	clarify
jugendlich-adj	youthful
Klassiker-M	classic
Justiz-F	justice
klatschen-vb	gossip
Juwel-N/M	jewel
Klatsch-M	gossip
kleiden-vb	dress
Käfer-M	beetle
klicken-vb	click
Kahn-M	boat
Kai-M	quay
Klippe-F	cliff
kaiserlich-adj	imperial
Klo-N	loo (coll)
Kakerlak-M	cockroach
Klub-M	club
Kalb-N	calf
Knabe-M	boy (CH)
Kaliber-N	caliber
Knecht-M	servant
kneten-vb	knead
knöpfen-vb	button
Kampagne-F	campaign
knurren-vb	growl
Kode-M	code
Kanzlei-F	office
Koks-M	coke (coll)
Kapelle-F	chapel, band
Kolonie-F	colony
Kolumne-F	column
Kaplan-M	chaplain
Komiker-M	comedian
Kappe-F	cap
Komitee-N	committee
Karate-N	karate
Kommando-N	command
Kardinal-M	cardinal
kommend-adj	next
Kasino-N	casino
kassieren-vb	collect
Komödie-F	comedy
kauen-vb	chew
Komplikation-F	complication
Kavallerie-F	cavalry
Komplize-M	accomplice
Kaviar-M	caviar
Kondom-N/M	condom
Kuckuck-M	cuckoo
Konsul-M	consul
kontaktieren-vb	contact
Konversation-F	conversation
Konvoi-M	convoy
Kuppel-F	dome
Kürbis-M	pumpkin
Koordinate-F	coordinate
Kurier-M	courier
Kopfgeldjäger-M	bounty hunter
Kopfhörer-M	headphone
kürzen-vb	shorten
Kopfweh-N	headache (coll)
kopieren-vb	copy
Korn-N	grain
Kusine-F	cousin
Küstenwache-F	coast guard
Kutsche-F	carriage
Korrektur-F	correction
Korridor-M	corridor
Lagerhaus-N	warehouse
lahm-adj; adv	lame; lamely
korrupt-adj	corrupted
lähmen-vb	paralyze
kostbar-adj; adv	precious; preciously
Lamm-N	lamb
Krabbe-F	crab
Langeweile-F	boredom
Kragen-M	collar
langweilen-vb;	bore; get bored
Krähe-F	crow
Kralle-F	claw
lästig-adj; adv	annoying; inconveniently
krallen-vb	claw
laufend-adv; adj	constantly; running
Läufer-M	runner
lautlos-adj; adv	silent; silently
kränken-vb	offend, hurt
Lebensform-F	form of life
krass-adj; adv	crass; crassly
Krater-M	crater
kratzen-vb	scratch
Kreide-F	chalk
kreischen-vb; N	shriek
lecken-vb	lick
Leder-N	leather
Kreuzung-F	crossing
Leichenhalle-F	morgue
Kristall-N; M	crystal(ware); crystal
Leichnam-M	body, corpse
Krokodil-N	crocodile
leichtsinnig-adj;	reckless; recklessly
Kröte-F	toad
Krug-M	jug
krumm-adj; adv	crooked; crookedly
Krüppel-M	cripple (coll)
Mandant-M	client
Lenkrad-N	(steering) wheel
manipulieren-vb	manipulate
lesbisch-adj	lesbian
männlich-adj	male, masculine
Manöver-N	maneuver
markieren-vb	mark
leugnen-vb; N	deny, denial
Marschall-M	marshal
Level-N/M	level
Märtyrer-M	martyr
Masche-F	scam (coll)
liebend-adj; adv	loving; lovingly
liebevoll-adv; adj	lovingly; loving
Massage-F	massage
Lieferwagen-M	van
Massaker-N	massacre
Lift-M	lift
Masse-F	mass
massieren-vb	massage
Limonade-F	lemonade
Limousine-F	limousine
Matratze-F	mattress
lindern-vb	alleviate
Maulwurf-M	mole
List-F	ruse
Logik-F	logic
meiden-vb	avoid
meilenweit-adv	for miles
Lok-F	engine
meinerseits-adv	for my part
losfahren-vb	set off
loslegen-vb	get going (coll)
Lotto-N	lottery
Melone-F	melon
loyal-adj; adv	loyal; loyally
Menü-N	menu
Luder-N	slut (coll)
Luftwaffe-F	air force
Lump-M	rascal
Metro-F	metro
Lunch-M	lunch
Metzger-M	butcher
Meuterei-F	mutiny
lutschen-vb	suck
Mikrofon-N	microphone
Missachtung-F	contempt
magisch-adj; adv	magical, magically
Mahlzeit-F	meal
Misstrauen-N; vb	distrust
Mais-M	corn
Nachname-M	last name
nachschauen-vb	look up
Nachschub-M	supplies
Mitbewohner-M	roommate
Nachthemd-N	nightgown
Mitbürger-M	fellow citizen
Nagel-M	nail
nahen-vb	approach
mithalten-vb	keep up
mitkriegen-vb	realize (coll)
mitspielen-vb	play along
Mitteilung-F	communication, message
Neger-M	Negro (coll)
neidisch-adj; adv	envious; enviously
mittendrin-adv	in the middle
Neid-M	envy
Mittler-M	mediator
neigen-vb	incline
Neigung-F	inclination
Nervensäge-F	nag (coll)
modeln-vb; N	model (coll); modeling
Neuanfang-M	fresh start
neuerdings-adv	lately
Neugier-F	curiosity
Mönch-M	monk
Monitor-M	monitor
Nickerchen-N	nap
Niere-F	kidney
Morgengrauen-N	dawn
Niete-F	loser (coll), rivet
Moschee-F	mosque
nimmer-adv	never (AT)
Nonne-F	nun
Mühle-F	mill, grinder
Mumie-F	mummy
Munition-F	ammunition
Norm-F	norm
munter-adj; adv	cheerful; cheerfully
Notarzt-M	emergency (doctor)
Notaufnahme-F	emergency room
Musical-N	musical
notieren-vb	note
Mutation-F	mutation
Notizbuch-N	notebook
mysteriös-adj;	mysterious; mysteriously
Notruf-M	distress call
Nudel-F	noodle
Nuss-F	nut
Nutte-F	whore (coll)
nachgeben-vb	give in
oberflächlich-adj;	superficial; superficially
nachkommen-vb	fulfill, comply with
Oberin-F	matron
Obhut-F	care (fml)
Pfeffer-M	pepper
Ochse-M	ox
öde-adj; adv; F	bleak; bleakly; wasteland
Offenbarung-F	revelation
pflücken-vb	pick
Pfote-F	paw
Option-F	option
Phantom-N	ghost
Organ-N	organ
Picknick-N	picnic
Orgasmus-M	orgasm
piepsen-vb; N	beep; beeping
Pier-M	jetty
pink-adj	pink
Pinsel-M	brush
plagen-vb	plague
Plastik-N; F	plastic, sculpture
Plätzchen-N	spot; cookie
platzieren-vb	place
plaudern-vb	chat (coll)
Poesie-F	poetry
paaren-vb	pair
Poker-N/M	poker
Päckchen-N	parcel
polieren-vb; N	polish; polishing
Packung-F	package
poltern-vb; N	rumble; cluttering
Pakt-M	pact
Pony-M; N	bangs; pony
Palästina-N	Palestine
Portion-F	portion
Papagei-M	parrot
Port-M	port
Parade-F	parade
Paranoia-F	paranoia
prächtig-adj; adv	splendid; magnificently
paranoid-adj	paranoid
Präsentation-F	presentation
Parasit-M	parasite
Präsenz-F	presence
Pärchen-N	couple
Parfum-N	perfume
predigen-vb	preach
Pariser-M; adj	Parisian
preisen-vb	praise
Park-M	park
Premier-M; adj	Prime Minister; führend
passend-adj; adv	suitable; suitably
Priorität-F	priority
Patron-M	patron
Privatleben-N	private life
Patrouille-F	patrol
Privatsphäre-F	privacy
Peitsche-F	whip
Privileg-N	privilege
Pension-F	pension, guesthouse
Perfektion-F	perfection
Produzent-M	producer
Perle-F	pearl, bead
produzieren-vb	produce
pervers-adj; adv	perverted; perversely
Ratschlag-M	advice
rauben-vb	rob
Raubüberfall-M	robbery
Rauschen-N; vb	noise; rustle
Propaganda-F	propaganda
Prophet-M	prophet
Prophezeiung-F	prophecy
prostituieren-vb	prostitute
Prostituierte-F	prostitute
räuspern-vb	clear one's throat
Prototyp-M	prototype
provozieren-vb	provoke
prügeln-vb	fight
Psychopath-M	psychopath
Pub-N/M	pub
Razzia-F	(police) raid
Pudding-M	pudding
Pulli-M	jumper (coll)
Pullover-M	sweater
Pulver-N	powder
Rebellion-F	rebellion
pumpen-vb	pump
Punk-M	punk
pur-adj	pure, neat
Puste-F	puff (coll)
pusten-vb	blow (coll)
Putzfrau-F	cleaning lady
quälen-vb	torture
Qual-F	torment
Quarantäne-F	quarantine
Quarterback-M	quarterback
Quartier-N	quarters, district
Quittung-F	receipt
Quote-F	quota
rächen-vb	avenge
raffiniert-adj;	subtle; artfully
(he)rangehen-vb	approach
rankommen-vb	get
Regenschirm-M	umbrella
reiben-vb	rub
(he)reinfallen-vb	fall for (coll)
Reinheit-F	purity
Rennbahn-F	(race) track
Reserve-F	reserve
reservieren-vb	reserve
Reservierung-F	reservation
respektlos-adj;	disrespectful;
Sanatorium-N	sanatorium
Sattel-M	saddle
Retter-M	savior
Revolver-M	revolver
säubern-vb	clean
Riegel-M	latch
Sauce-F	sauce
Sauerei-F	mess
Rind-N	beef
ringen-vb; N	wrestle, struggle
Säufer-M	drunk (coll)
saugen-vb	suck
roh-adj; adv	raw; roughly
Sauna-F	sauna
Romantik-F	romance
Schachmatt-N	checkmate
Romanze-F	romance
Schacht-M	shaft, well
römisch-adj	Roman
Schale-F	bowl, shell
schalen-vb	peel
Routine-F	routine
Schal-M; adj	scarf, stale
Rubel-M	ruble
Schalter-M	switch, counter
Scharfschütze-M	sniper
rucken-vb	jolt
Schaufel-F	shovel
rückgängig-adj	undone
schaufeln-vb	shovel
Schaukel-F	swing
rührend-adj	touching
schaukeln-vb	rock
Schauspiel-N	play
Scheinwerfer-M	headlight
Scheißdreck-M	shit (coll)
(he)rumsitzen-vb	sit around
Schenkel-M	thigh
scheu-adj; F	shy; awe
Rumpf-M	hull
scheußlich-adj;	hideous; hideously
Schick-M; adj	style; chic
Schiedsrichter-M	referee
Schimmer-M	gleam, idea (coll)
Schirm-M	umbrella, screen
schlachten-vb	slaughter
Schlacht-F	battle
Sackgasse-F	dead end
Schlaftablette-F	sleeping pill
Schlaganfall-M	stroke
Sahne-F	cream
Schlamassel-M/N	mess (coll)
Salami-F/M	salami
Schlauch-M	tube
Same-M	seed
schleichen-vb	sneak
Sammler-M	collector
Schleier-M	veil, shroud
schleifen-vb	drag; grind
Schwerkraft-F	gravity
Schleppe-F	train
schleppen-vb	drag
Schließfach-N	locker
Schlips-M	tie (coll)
Schlucht-F	ravine
schwindelig-adj;	dizzy; dizzily
schmelzen-vb	melt
Schwindel-M	fraud
schmerzhaft-adv;	painfully; painful
schwindeln-vb	cheat
Schwindler-M	fraud
Schmetterling-M	butterfly
schwindlig-adj	dizzy
Schmied-M	blacksmith
schwingen-vb	swing
schmieren-vb	grease
schwitzen-vb	sweat
schmuggeln-vb	smuggle
Schwung-M	momentum
Schmutz-M	dirt
schnarchen-vb	snore
Segel-N	sail
schnüffeln-vb	snoop
Seide-F	silk
Schnurrbart-M	mustache
Sekt-M	champagne
schockieren-vb	shock
selig-adj	blessed
schonen-vb; vbr	spare; take it easy
Senior-M	senior
Schöpfer-M	creator
Schöpfung-F	creation
Sensation-F	sensation
sensibel-adj; adv	sensitive, sensitively
schrauben-vb;	screw; spiral
Sensor-M	sensor
sentimental-adj	sentimental
Schrift-F	font, writing
Serienmörder-M	serial killer
servieren-vb	serve
Seufzer-M	sigh
Schublade-F	drawer
schubsen-vb	nudge, push (coll)
Schuft-M	villain
sichergehen-vb	be sure
Schurke-M	villain
Schüssel-F	bowl
sicherstellen-vb	ensure
Schutzengel-M	guardian angel
Schwächling-M	weakling
sichten-vb	sight
Sichtkontakt-M	visual
Siegel-N	seal
simpel-adj; adv	simple; simply
Single-M; F; N	single; single record;
schwellen-vb; N	swell
Sirene-F	siren
spucken-vb	spit
Skelett-N	skeleton
spülen-vb	rinse
Ski-M	ski
Stacheldraht-M	barbed wire
Skorpion-M	skorpion
Stadion-N	stadium
Staffel-F	relay, season
sofortig-adj	instant
Standpunkt-M	position
Söldner-M	mercenary
Stapel-M	pile
Solo-N; adj; adv	solo
startklar-adj	ready to go
Sonde-F	probe
stationieren-vb	deploy
sonderbar-adj;	weird; weirdly
stattgeben-vb	grant
Sonnenlicht-N	sunlight
stauen-vb	jam
Sonnenschein-M	sunshine
Staunen-N; vb	amazement, wonder
Sonnensystem-N	solar system
stehenbleiben-vb	stop
steif-adj; adv	stiff; stiffly
Soße-F	sauce
Stempel-M	seal, stamp
stempeln-vb	stamp
sterblich-adj	mortal
sticken-vb; N	embroider; embroidery
Stiefmutter-F	stepmother
Stier-M	bull
speisen-vb	dine
stiften-vb	donate
spenden-vb	donate
Sperma-N	sperm
stillen-vb; N	breastfeed;
Spiegelbild-N	reflection
stillhalten-vb	stand still
Spieß-M	skewer
stillstehen-vb	stand still
Spind-M/N	locker
Spital-N	hospital
Stipendium-N	scholarship
spitz-adj; M	pointed; tip (AT)
stolpern-vb	stumble
Spitzname-M	nickname
stopfen-vb	plug
Sträfling-M	convict
Spot-M	commercial
streicheln-vb	stroke
Streichholz-N	match(stick)
Sprengstoff-M	explosive
Streifenwagen-M	patrol car
Sprichwort-N	proverb, saying
Streik-M	strike
Sprit-M	gas (coll), booze (coll)
Spritztour-F	joy ride (coll)
Strenge-F	rigor
stressen-vb	stress (coll)
Sprung-M	jump
Strick-M	rope
strömen-vb	stream
Strumpf-M	stocking
Techniker-M	technician
Stückchen-N	(small) piece
Teenager-M	teenager
Teich-M	pond
stur-adj; adv	stubborn; obstinately
stürmen-vb	storm
Telefonzelle-F	phone booth
Stützpunkt-M	base
Telegramm-N	telegram
Teleskop-N	telescope
Temperament-N	temper
süchtig-adj	addicted
Terminal-M/N;	terminal
Südafrika-N	South Africa
Südamerika-N	South America
Terrain-N	terrain, territory
Terrasse-F	terrace
Territorium-N	territory
Summer-M	buzzer
Terror-M	terror
sündigen-vb	sin
texten-vb	text
surfen-vb; N	surf; surfing
suspendieren-vb	suspend
Sympathie-F	sympathy
sympathisch-adj;	nice, nicely
tierisch-adj; adv	animal, bestially
tippen-vb	type
Syndikat-N	syndicate
Todesstrafe-F	death penalty
Todesursache-F	cause of death
Tomate-F	tomato
tabu-adj	taboo
töricht-adj; adv	foolish; foolishly
Tafel-F	board, bar
Tournee-F	tour
tagelang-adv; adj	for days, daylong
träge-adj; adv	sluggish; sluggishly
tagsüber-adv; adj	during the day
Taktik-F	tactic
Takt-M	stroke, tact
Transporter-M	van
Tango-M	tango
Transport-M	transport
Tarnung-F	disguise
trauern-vb	mourn, grieve
Taschentuch-N	handkerchief
Treibstoff-M	fuel
Tätowierung-F	tattoo
tauen-vb	thaw
Tresor-M	safe
taugen-vb	be good
Tresorraum-M	vault
Tau-M; N	dew; rope
Trinker-M	drinker
Täuschung-F	deception
Trip-M	trip
Uhrzeit-F	time (of day)
trommeln-vb	drum
ultimativ-adj;	ultimate; ultimately
Trompete-F	trumpet
trösten-vb	console
Umarmung-F	hug
Truhe-F	chest
umfallen-vb	fall down, capitulate
Trupp-M	squad
Truthahn-M	turkey
tüchtig-adj; adv	efficient; hard
umgehend-adv;	immediately; immediate
Tugend-F	virtue
Tumor-M	tumor
Umhang-M	cloak
Türkei-F	Turkey
umher-adv	around
türkisch-adj; N	Turkish
umkehren-vb	reverse
Türklingel-F	doorbell
umkommen-vb	die
Tyrannei-F	tyranny
Umkreis-M	perimeter
Umlaufbahn-F	orbit
umsehen-vbr	look around
umstellen-vb	adjust, surround
überbringen-vb	deliver
Umweg-M	detour
überdenken-vb	rethink
umzingeln-vb	surround
Überdosis-F	overdose
unauffällig-adj;	independent
Übergabe-F	handover, delivery
übermitteln-vb	convey
unbesiegbar-adj	invincible
unbewaffnet-adj	unarmed
unerhört-adj;	undecided, tie
Überstunde-F	overtime
überstürzen-vb	rush
Überwachung-F	supervision
unfassbar-adj;	incomprehensible;
Ungar-M	Hungarian
Ufo-N	UFO
ungut-adj	bad, uncomfortable
universal-adj;	universal; universally
vage-adj; adv	vague; vaguely
unmoralisch-adj;	immoral; immorally
Vase-F	vase
Ventil-N	valve
verabscheuen-vb	detest
unruhig-adj; adv	restless; uneasily
verachten-vb	despise
unsterblich-adj	immortal
Verachtung-F	contempt
Unsterblichkeit-F	immortality
verängstigen-vb	frighten
Unterbrechung-F	interruption
Unterdrückung-F	repression
Untergrund-M	underground
verbannen-vb	banish
verblüffend-adj;	striking; strikingly
Unterhose-F	underpants
Unterkunft-F	accommodation
Unteroffizier-M	sergeant
verbreitet-adj	common
Verbrennung-F	burn
verbünden-vb	join forces
Unterschlupf-M	shelter
Untertan-M	subject
verdrehen-vb	twist
unterwerfen-vb;	subject; capitulate
verehren-vb	worship
vereinbart-adj	agreed, appointed
verfallen-vb; adj	expire; expired
verfehlen-vb	miss
verfehlt-adj	inappropriate, missed
unversehrt-adj	intact
verflixt-adj; adv	darn; confoundedly
verführen-vb	seduce
Urin-M	urine
Urkunde-F	deed, document
Vergebung-F	forgiveness
Vergeltung-F	retribution
vergeuden-vb	waste
vergießen-vb	spill
verheimlichen-vb	conceal
versenken-vb;	sink; immerse
verhexen-vb	jinx
verhören-vb; vbr	interrogate, mishear
Versetzung-F	transfer
verjagen-vb	scare off
versiegeln-vb	seal
verklagen-vb	sue
verkleiden-vb	disguise, dress up
verständig-adj;	understanding; maturely
verknallen-vb	have a crush (coll)
verkünden-vb	announce
Verlegenheit-F	embarrassment
Verleger-M	publisher
Verstärkung-F	reinforcement
verleugnen-vb	deny
verstopfen-vb;	clog; congest
Verlobung-F	engagement
verstört-adj; adv	distraught; haggardly
vermehren-vb	multiply
vermisst-adj	missing, lost
vermitteln-vb	convey, give
Vernichtung-F	destruction
Verstoß-M	violation
verstreuen-vb	scatter
Versuchung-F	temptation
vertauschen-vb	exchange
verrecken-vb	die (coll)
verreisen-vb	travel
verriegeln-vb	latch
verrotten-vb	rot
versäumen-vb	miss, fail
verschlafen-adj;	sleepy; oversleep;
verschlingen-vb;	sleepily
vertuschen-vb	cover up
verüben-vb	commit
verwechseln-vb	confuse
verwirrend-adj	confusing
verschlucken-vb	swallow
Verwirrung-F	confusion,
Verschluss-M	shutter
verwöhnen-vb	spoil
verschonen-vb	spare
verschütten-vb	spill
verzaubern-vb	enchant
verschweigen-vb	conceal
verzerren-vb	distort
Verzögerung-F	delay
Verzweiflung-F	despair
Video-N	video
Vulkan-M	volcano
Visier-N	visor
Wachmann-M	security guard
Visitenkarte-F	business card
wachsam-adj;	alert; attentively
Vitamin-N	vitamin
Wachtmeister-M	sergeant (AT)
vollbringen-vb	accomplish
wählerisch-adj	picky
vollenden-vb	complete
Vollidiot-M	retard (coll)
Volltreffer-M	bull's eye
wahrhaft-adv;	truly; true
voreilig-adj; adv	premature; prematurely
wahrlich-adv	truly
Waise-F	orphan
vorfallen-vb	happen to
vorführen-vb	show
Wal-M	whale
Vorgesetzte-M/F	superior
Walzer-M	waltz
Wandern-vb; N	hike; hiking
Wanne-F	bathtub
Wanze-F	bug
vormachen-vb;	fool; show
Vorname-M	first name
Wasserfall-M	waterfall
vornehm-adj;	distinguished; nobly
Wechselgeld-N	change
vornehmen-vb	make, carry out
Vorrat-M	supply
wegtreten-vb	be dismissed, step away
Vorschuss-M	advance
wehren-vb; vbr	oppose (coll); fight back
Vorspiel-N	foreplay
vorsprechen-vb	audition
weichen-vb	yield, soak
Weide-F	meadow, willow
vortreten-vb	step forward
weigern-vb	refuse
Vorurteil-N	prejudice
Vorwand-M	excuse
weiterhelfen-vb	help (along)
weiterleben-vb	live on
Welpe-M	puppy
Yacht-F	yacht
Weltraum-M	space
zäh-adj; adv	tough; tenaciously
Zange-F	pliers
Wettkampf-M	competition
zart-adj; adv	tender, tenderly
zärtlich-adj; adv	tender; tenderly
widersetzen-vbr	resist
Zauberei-F	magic
Zauberer-M	wizard
Zeitalter-N	age, period
wiederhaben-vb	have back
Zeitmaschine-F	time machine
zerbrechen-vb	break
wiehern-vb	whinny
zerbrechlich-adj;	fragile; fragilely
Wildnis-F	wilderness
zerfetzen-vb	shred
willens-adj	willing (fml)
zerquetschen-vb	crush
wimmern-vb; N	whimper; whimpering
zerschlagen-vb;	smash; shattered
Wirbel-M	vortex, vertebra
Wirbelsäule-F	spine
Zerstörer-M	destroyer
Wirt-M	host, landlord
Zeugenstand-M	(witness) stand
wischen-vb	wipe
Zigeuner-M	gypsy
Witwer-M	widower
zischen-vb	hiss
wohlauf-adj	well
Wohlergehen-N	welfare
Wohlstand-M	prosperity
Zoll-M	customs, inch
zornig-adj; adv	furious; furiously
züchten-vb	breed, grow
wörtlich-adv; adj	literally; literal
Wrack-N; adj	wreck, wrecked
würdig-adj; adv	worthy; worthily
Würfel-M	cube, dice
Zufriedenheit-F	satisfaction
zugelassen-adj	authorized
Wurzel-F	root
zukommen-vb	get; befit
zuliebe-adv	for sake
zumachen-vb	close (coll)
Zünder-M	detonator
Zündung-F	ignition
Zuneigung-F	affection
zunichte-adj	destroyed
zurichten-vb	manage
zuschlagen-vb	slam, strike
zustoßen-vb	happen to
Zutat-F	ingredient
zurückholen-vb;	retrieve
zuteilen-vb	assign
zutiefst-adv	deeply
zurückzahlen-vb	pay back
Zwischenfall-M	incident
Zwischenzeit-F	meantime
zwitschern-vb; N	chirp; tweet
albern-adj	silly
andauernd-adv; adj	constantly; ongoing
andermal-adv	another time
anfassen-vb	touch
angeklagt-adj	accused
angeln-vb; N	fish; fishing
anklagen-vb	accuse, charge
anlügen-vb	lie to
abbrechen-vb	cancel, stop
abgeschlossen-adj	enclosed, closed
abhalten-vb	discourage
abmachen-vb	arrange, remove
Abschaum-M	scum (coll)
absichtlich-adv; adj	intentionally;
anschießen-vb	shoot
anständig-adj; adv	decent; decently
Asche-F	ash
aufwachen-vb	wake up
Aufzug-F	elevator
ausgeschlossen-adj	impossible
aussetzen-vb	expose
Ausrede-F	excuse
Beerdigung-F	funeral
befinden-vbr; vb	be situated; decide
befreien-vb	free
Bach-M	brook
begraben-vb	bury
Bande-F	gang
Baseball-M	baseball
behaupten-vb	claim
beißen-vb	bite
belästigen-vb	bother
beleidigen-vb	offend
beleidigt-adj; adv	offended; sulkily
Belieben-N; vb	convenience; please
bellen-vb	bark
Belohnung-F	reward
belügen-vb	lie to
Benehmen-N; vbr	behavior, behave
benötigen-vb	need
Benzin-N	petrol
bereuen-vb	regret
berufen-vb; adj	appoint; competent
Besatzung-F	crew, occupation
besessen-adj	obsessed
besetzt-adj	occupied, busy
besiegen-vb	defeat, beat
besoffen-adj	drunk (coll)
besorgen-vb	get, procure
besorgt-adj; adv	concerned;
Besprechung-F	meeting
Bestie-F	beast
bestrafen-vb	punish
Betrüger-M	fraud
betrunken-adj	drunk
bewachen-vb	guard
bewundern-vb	admire
bewusstlos-adj	unconscious
bezweifeln-vb	doubt
blasen-vb	blow
Blutdruck-M	blood pressure
bluten-vb	bleed
Blut-N	blood
Bock-M	buck, ram
boxen-vb	box
Brand-M	fire
Braut-F	bride
bremsen-vb	brake
Brieftasche-F	wallet
brillant-adj; adv	brilliant; brilliantly
Brite-M	British
buchen-vb	book
Buchhalter-M	accountant
Bude-F	hut
Bulle-M	bull; cop (coll)
bumsen-vb	f*ck (coll), thump
campen-vb	camp
ermorden-vb	murder
erobern-vb	conquer
entspannt-adj	relaxed
erschrecken-vb	scare
ertönen-vb	sound
Etage-F	floor, level
Ex-M/F; pfx	ex
fabelhaft-adj; adv	fabulous; fabulously
fällen-vb	make, fell
fangen-vb	catch
fassen-vb	take, believe
feige-adj; adv	cowardly
Feigling-M	coward
fesseln-vb	tie up
fett-adj; N	fat
Feuerzeug-N	lighter
Finsternis-F	darkness
fischen-vb	fish
Flagge-F	flag
Flamme-F	flame
Flieger-M	aviator, plane (coll)
flott-adj; adv	fast (coll)
faul-adj; adv	lazy; lazily
frech-adj; adv	cheeky; impudently
Friseur-M	hairdresser
Fuchs-M	fox
Führerschein-M	driver's license
Funken-M; vb	spark; radio
Futter-N	feed
füttern-vb	feed
gebären-vb	give birth to
gefälligst-adv	kindly (coll)
geil-adj	awesome; horny
Gelächter-N	laughter
gelassen-adv; adj	calmly; calm
gemein-adj; adv	mean, common;
Gesang-M	singing
Geschrei-N	shouting
gesegnet-adj	blessed
gespannt-adj; adv	curious; eagerly
Gestank-M	stench
Gift-N	poison
Gnade-F	mercy
gnädig-adj; adv	gracious; graciously
graben-vb; M	dig; ditch
Gräfin-F	countess
gratis-adj; adv	free
grausam-adj; adv	cruel; cruelly
grün-adj; N	generously
Gürtel-M	belt
Hahn-M	tap, rooster
Haken-M; vb	hook
Handtuch-N	towel
hart-adj; adv	harmlessly
hauen-vb	cut, hit
heilen-vb	heal
hereinlegen-vb	trick (coll)
Honig-M	honey
Hühnchen-N	chicken
Huhn-N	chicken, hen
Hure-F	whore
husten-vb; M	cough
hüten-vb	guard
Herzinfarkt-M	heart attack
Herzog-M	duke
hilfreich-adj	helpful
Hintern-M; cntr	butt; behind the
höflich-adj; adv	polite; cordially
jubeln-vb	cheer
Jungfrau-F	virgin
junior-adj; M	junior
Kabine-F	cabin
Kacke-F	poo (coll)
Käfig-M	cage
Kanone-F	gun
kapieren-vb	understand (coll)
Karre-F	cart
Kater-M	hangover (coll), tomcat
Kaution-F	deposit
Kehle-F	throat
Keks-M/N	biscuit
Kellner-M	waiter
keuchen-vb	gasp
kichern-vb	giggle
irre-adj; M/F	crazy, maniac
klauen-vb	steal (coll.)
Klemme-F	jam (coll)
knacken-vb	crack
knallen-vb	bang
knarren-vb	creak
Knopf-M	button
Knoten-M; vb	knot
Kofferraum-M	trunk
Koma-N	coma
königlich-adj; adv	royal, royally
Korb-M	basket
köstlich-adj; adv	delicious; deliciously
kotzen-vb	puke (coll)
krachen-vb; N	crash
Kratzer-M	scratch
Krawatte-F	tie
Krebs-M	cancer, crab
kreisen-vb	circle
Krone-F	crown
Kuh-F	cow
Kühlschrank-M	fridge
kümmern-vb	take care of
Kumpel-M	mate (coll)
Kuss-M	kiss
lächerlich-adj; adv	ridiculous;
landen-vb	land
Landung-F	landing
Laster-M	truck (coll)
lauten-vb	be (based)
lebend-adj	alive
lebendig-adj; adv	alive
Leber-F	liver
leck-adj; N	leaky; leak
Legende-F	legend
Leinen-N; adj	linen
Lektion-F	lesson
Liebhaber-M	lover
Liebling-M	darling
Lizenz-F	license
Löffel-M	spoon
Maul-N	mouth (coll)
meistern-vb	master
Löwe-M	lion
lügen-vb	lie
Lunge-F	lung,
Mädel-N	girl (coll)
Mafia-F	mafia
Marine-F	navy
Marke-F	brand
marschieren-vb	march
marsch-M	march
matt-adj	matt, dull
Meldung-F	message
mies-adj	lousy (coll)
Mission-F	mission
Mist-M	shit, manure
nachsehen-vb	check
Nadel-F	needle
Narbe-F	scar
Narr-M	fool
Neffe-M	nephew
Müll-M	garbage
mutig-adj; adv	brave; bravely
neulich-adv	the other day
Mütze-F	cap, hat
niedlich-adj	cute
Notfall-M	emergency
Notiz-F	note
nüchtern-adj; adv	sober; soberly
Palast-M	palace
Pfad-M	path
pfeifen-vb	whistle
Pfeil-M	arrow, dart
pflanzen-vb	plant
piepen-vb; nnpl	beep; bucks (coll)
Pilot-M	pilot
pinkeln-vb	pee (coll)
Pirat-M	pirate
ohnmächtig-adj	unconscious
ölen-vb	oil
Pizza-F	pizza
platt-adj	flat
pleite-adj; F	broke (coll);
prima-adj; adv	great; fine
punkten-vb	score
Puppe-F	doll
Quatsch-M	nonsense (coll)
quitt-adj	quits
